date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:29	55039/55039	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2018:57:08%20GMT	http://themexriver.com/industrial-demo/index.html	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/index.html	(from )
15:10:30	2878/2878	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2019:10:04%20GMT	http://themexriver.com/industrial-demo/assets/images/favicon/favicon.png	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/favicon/favicon.png	(from http://themexriver.com/industrial-demo/index.html)
15:10:30	5129/5129	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2019:09:38%20GMT	http://themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-57x57.png	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-57x57.png	(from http://themexriver.com/industrial-demo/index.html)
15:10:31	6558/6558	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2019:09:20%20GMT	http://themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-72x72.png	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-72x72.png	(from http://themexriver.com/industrial-demo/index.html)
15:10:31	10109/10109	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2019:09:04%20GMT	http://themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-114x114.png	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-114x114.png	(from http://themexriver.com/industrial-demo/index.html)
15:10:32	12399/12399	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jan%202018%2019:08:44%20GMT	http://themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-144x144.png	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/favicon/apple-touch-icon-144x144.png	(from http://themexriver.com/industrial-demo/index.html)
15:10:32	29062/29062	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2019:45:48%20GMT	http://themexriver.com/industrial-demo/assets/css/font-awesome.min.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/font-awesome.min.css	(from http://themexriver.com/industrial-demo/index.html)
15:10:33	1457/1457	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202018%2017:37:24%20GMT	http://themexriver.com/industrial-demo/assets/css/flaticon.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/flaticon.css	(from http://themexriver.com/industrial-demo/index.html)
15:10:34	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2021:53:28%20GMT	http://themexriver.com/industrial-demo/assets/css/bootstrap.min.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/bootstrap.min.css	(from http://themexriver.com/industrial-demo/index.html)
15:10:34	76783/76783	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202016%2017:51:46%20GMT	http://themexriver.com/industrial-demo/assets/css/animate.css	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/css/animate.css	(from http://themexriver.com/industrial-demo/index.html)
